Id,Category
91_5,5
91_6,2
92_1,12
92_2,1
92_3,3
92_4,2
93_1,1
93_2,3
93_3,5
93_4,4
94_1,8
94_2,10
94_3,4
94_4,9
94_5,2
94_6,6
94_7,3
94_8,5
95_1,8
95_2,10
95_3,4
95_4,9
95_5,7
95_6,3
95_7,2
95_8,6
95_9,5
95_10,1
96_1,3
96_2,10
96_3,4
96_4,9
96_5,7
96_6,2
96_7,3
96_8,6
96_9,5
96_10,1
97_1,2
97_2,12
97_3,3
97_4,5
98_1,3
98_2,6
98_3,5
98_4,4
99_1,8
99_2,10
99_3,4
99_4,9
99_5,2
99_6,1
99_7,5
99_8,6
100_1,1
100_2,3
100_3,6
100_4,5
100_5,2
100_6,4
101_1,1
101_2,3
101_3,5
101_4,6
102_1,1
102_2,3
102_3,6
102_4,2
103_1,7
103_2,11
103_3,6
103_4,5
104_1,6
104_2,8
104_3,5
104_4,4
104_5,3
104_6,2
104_7,1
105_1,11
105_2,2
105_3,5
105_4,6
106_1,6
106_2,8
106_3,10
106_4,5
106_5,4
106_6,9
106_7,3
106_8,2
106_9,10
107_1,2
107_2,1
108_1,7
108_2,11
108_3,6
108_4,2
109_1,10
109_2,9
109_3,1
109_4,5
110_1,7
110_2,11
110_3,6
110_4,5
111_1,12
111_2,1
111_3,2
111_4,6
112_1,12
112_2,3
112_3,6
112_4,8
112_5,5
112_6,4
112_7,1
112_8,2
113_1,7
113_2,11
113_3,5
113_4,2
114_1,8
114_2,4
114_3,5
114_4,6
115_1,9
115_2,3
115_3,6
115_4,10
115_5,5
115_6,9
115_7,1
115_8,4
116_1,12
116_2,6
116_3,8
116_4,4
116_5,5
116_6,1
116_7,2
116_8,3
117_1,9
117_2,7
117_3,11
117_4,6
117_5,2
117_6,11
118_1,9
118_2,7
118_3,11
118_4,1
118_5,2
118_6,6
119_1,11
119_2,2
119_3,5
119_4,3
120_1,11
120_2,2
120_3,5
120_4,1
121_1,1
121_2,3
121_3,6
121_4,10
121_5,5
121_6,1
121_7,4
122_1,3
122_2,6
122_3,1
122_4,4
123_1,2
123_2,12
123_3,5
123_4,6
124_1,1
124_2,3
124_3,8
124_4,10
124_5,6
124_6,5
124_7,4
124_8,2
