Id,Category
104_1,0
104_2,1
104_3,0
104_4,0
104_5,0
104_6,1
104_7,1
104_8,0
104_9,0
104_10,0
104_11,1
104_12,0
105_1,0
105_2,1
105_3,1
105_4,0
105_5,0
105_6,0
105_7,1
105_8,0
105_9,0
105_10,0
105_11,0
105_12,0
106_1,1
106_2,1
106_3,1
106_4,1
106_5,1
106_6,1
106_7,0
106_8,1
106_9,0
106_10,1
106_11,0
106_12,0
107_1,1
107_2,1
107_3,0
107_4,1
107_5,1
107_6,1
107_7,0
107_8,1
107_9,0
107_10,1
107_11,0
107_12,0
108_1,1
108_2,1
108_3,0
108_4,1
108_5,0
108_6,0
108_7,0
108_8,0
108_9,0
108_10,0
108_11,1
108_12,0
109_1,1
109_2,0
109_3,1
109_4,1
109_5,0
109_6,1
109_7,0
109_8,0
109_9,0
109_10,0
109_11,0
109_12,0
110_1,0
110_2,0
110_3,1
110_4,0
110_5,0
110_6,0
110_7,0
110_8,0
110_9,0
110_10,0
110_11,1
110_12,0
111_1,1
111_2,1
111_3,1
111_4,1
111_5,1
111_6,1
111_7,0
111_8,0
111_9,0
111_10,1
111_11,0
111_12,0
112_1,1
112_2,1
112_3,1
112_4,1
112_5,1
112_6,1
112_7,0
112_8,1
112_9,0
112_10,1
112_11,0
112_12,0
113_1,1
113_2,0
113_3,1
113_4,1
113_5,1
113_6,1
113_7,0
113_8,0
113_9,0
113_10,0
113_11,0
113_12,0
