Id,bb_tl_x,bb_tl_y,bb_lr_x,bb_lr_y
40_1,446,160,608,213
40_2,259,144,367,239
40_3,0,142,228,239
40_4,418,108,511,273
40_5,183,169,318,240
40_6,1,135,107,265
41_1,214,175,336,243
41_2,0,162,221,253
41_3,109,0,232,113
41_4,139,164,282,264
41_5,0,196,151,231
41_6,95,0,169,135
42_1,187,154,357,202
42_2,10,144,198,243
42_3,182,69,284,299
42_4,3,131,104,266
43_1,467,0,639,110
43_2,209,106,324,207
43_3,414,107,611,201
43_4,309,351,448,399
43_5,550,276,639,398
43_6,374,1,534,170
43_7,180,50,271,269
43_8,430,106,499,220
43_9,271,311,379,398
44_1,355,165,459,390
44_2,1,140,201,205
44_3,252,212,414,337
44_4,4,140,84,214
45_1,262,1,378,121
45_2,0,110,134,198
45_3,189,111,326,207
45_4,89,275,266,398
45_5,192,0,304,210
45_6,0,131,139,184
45_7,162,107,263,225
45_8,111,302,195,366
46_1,344,167,489,382
46_2,0,166,129,252
46_3,215,0,292,110
46_4,70,2,226,108
46_5,315,199,419,338
46_6,3,32,78,351
46_7,103,1,233,49
46_8,8,0,136,71
47_1,0,298,75,394
47_2,0,317,127,396
48_1,541,153,639,212
48_2,293,138,449,254
48_3,535,111,620,252
48_4,240,93,344,315
49_1,306,330,473,399
49_2,475,298,591,399
49_3,296,346,384,399
49_4,469,246,531,399
50_1,5,351,203,399
50_2,272,177,407,251
50_3,29,165,226,240
50_4,507,0,639,90
50_5,381,0,528,106
50_6,134,2,265,156
50_7,5,355,163,393
50_8,208,134,343,294
50_9,17,137,140,282
52_1,86,296,170,399
52_2,42,329,128,391
53_1,338,160,486,389
53_2,0,172,124,256
53_3,214,1,290,104
53_4,69,5,220,103
53_5,331,202,415,331
53_6,0,181,103,235
53_7,0,193,153,246
53_8,0,0,162,73
54_1,57,352,234,397
54_2,342,180,477,254
54_3,109,163,273,245
54_4,563,2,623,96
54_5,443,0,601,108
54_6,202,0,334,145
54_7,59,270,153,398
54_8,290,153,406,284
54_9,55,176,207,259
55_1,88,292,168,399
55_2,1,322,130,386
56_1,449,353,637,399
56_2,534,178,639,219
56_3,273,172,440,372
56_4,0,183,144,302
56_5,449,0,634,126
56_6,397,6,496,91
56_7,450,330,544,399
56_8,443,154,609,242
56_9,263,189,359,347
56_10,0,136,101,336
57_1,12,335,210,399
57_2,195,332,405,399
57_3,482,304,584,399
57_4,19,335,83,395
57_5,179,361,303,399
57_6,371,272,533,398
58_1,181,352,319,399
58_2,234,177,370,206
58_3,2,155,113,376
58_4,183,0,312,132
58_5,76,362,231,399
58_6,197,85,291,310
58_7,6,163,85,374
58_8,191,0,250,122
59_1,1,9,195,240
59_2,267,57,375,162
59_3,150,355,271,397
59_4,1,71,69,142
59_5,218,28,317,202
59_6,60,357,210,399
60_1,30,0,263,197
60_2,123,7,265,236
60_3,434,63,566,170
60_4,44,346,166,399
60_5,321,353,463,399
60_6,0,0,95,122
60_7,142,9,203,230
60_8,352,1,506,246
60_9,39,275,98,399
60_10,290,326,384,399
61_1,269,353,423,399
61_2,298,178,473,209
61_3,62,165,182,376
61_4,265,6,420,132
61_5,143,0,260,96
61_6,213,331,332,399
61_7,281,78,374,304
61_8,0,234,126,291
61_9,235,5,340,217
62_1,250,354,418,399
62_2,299,175,472,207
62_3,54,166,186,382
62_4,252,6,416,126
62_5,155,0,250,91
62_6,243,285,325,398
62_7,258,121,383,268
62_8,5,149,125,377
62_9,190,4,339,144
63_1,524,152,639,230
63_2,287,162,475,241
63_3,516,119,637,262
63_4,288,175,374,241
64_1,544,150,638,230
64_2,323,163,472,215
64_3,26,157,218,238
64_4,515,122,627,268
64_5,327,135,392,256
64_6,7,188,141,223
65_1,295,345,494,399
65_2,345,177,544,215
65_3,49,166,222,399
65_4,298,0,524,111
65_5,224,0,293,141
65_6,246,319,371,397
65_7,333,86,433,312
65_8,31,157,140,387
65_9,339,0,393,142
66_1,5,0,214,191
66_2,0,139,246,196
66_3,263,9,380,265
66_4,1,322,271,399
66_5,163,279,235,397
66_6,4,0,96,244
66_7,0,129,172,220
66_8,171,38,314,137
66_9,0,301,131,399
67_1,412,0,574,188
67_2,114,39,255,196
67_3,311,145,600,198
67_4,165,281,284,397
67_5,358,336,606,399
67_6,376,0,479,243
67_7,104,53,186,190
67_8,367,69,451,279
67_9,66,279,217,399
68_1,426,215,566,396
68_2,386,284,500,340
69_1,262,346,398,399
69_2,565,177,639,311
69_3,274,179,480,215
69_4,0,165,183,389
69_5,518,4,639,126
69_6,240,0,467,120
69_7,151,0,219,135
69_8,178,266,314,398
69_9,484,220,639,269
69_10,240,167,372,228
70_1,488,162,635,211
70_2,193,164,380,246
70_3,437,124,559,257
70_4,128,182,290,243
71_1,0,2,207,203
71_2,0,146,234,189
71_3,268,7,375,267
71_4,0,333,275,394
71_5,167,286,235,399
71_6,32,0,122,125
71_7,0,131,161,196
71_8,190,56,313,112
71_9,0,251,128,399
72_1,534,0,639,210
72_2,314,47,415,199
72_3,528,155,639,224
72_4,344,290,480,399
72_5,560,0,626,120
72_6,228,94,359,153
72_7,520,53,618,289
72_8,269,259,413,398
73_1,248,1,393,183
73_2,1,45,120,205
73_3,182,141,375,199
73_4,505,2,626,268
73_5,0,285,151,399
73_6,171,331,412,399
73_7,438,285,505,399
73_8,215,0,340,62
73_9,6,19,162,214
73_10,133,144,276,198
74_1,251,191,357,397
74_2,338,215,442,398
74_3,516,337,638,399
74_4,182,229,307,376
74_5,325,219,385,393
74_6,521,316,634,399
75_1,414,191,541,388
75_2,503,219,639,399
75_3,345,291,474,334
75_4,496,264,560,380
76_1,296,180,461,273
76_2,16,176,137,305
76_3,275,1,440,226
76_4,48,0,167,113
76_5,313,182,370,260
76_6,0,205,141,271
76_7,181,25,356,130
76_8,0,15,128,59
77_1,104,189,191,393
77_2,169,210,282,399
77_3,435,340,586,399
77_4,69,280,152,334
77_5,110,252,234,388
77_6,432,316,490,398
78_1,38,356,200,399
78_2,434,187,625,268
78_3,191,178,300,307
78_4,66,165,188,208
78_5,439,1,599,230
78_6,208,0,298,117
78_7,7,0,239,171
78_8,24,276,144,396
78_9,427,149,518,307
78_10,162,210,242,273
78_11,16,71,123,322
79_1,393,170,539,216
79_2,117,157,283,217
79_3,330,113,462,273
79_4,100,80,206,293
80_1,256,187,354,399
80_2,337,215,443,398
80_3,245,251,346,359
80_4,161,271,301,335
80_5,306,294,387,347
80_6,433,365,628,398
81_1,460,164,607,221
81_2,200,152,357,216
81_3,454,165,531,224
81_4,168,100,269,282
82_1,4,213,130,399
82_2,290,339,417,399
82_3,0,217,97,399
82_4,195,351,353,395
83_1,224,180,373,266
83_2,181,4,361,228
83_3,1,0,129,112
83_4,232,189,301,256
83_5,163,2,275,132
83_6,0,2,123,69
84_1,280,0,399,188
84_2,177,35,313,202
84_3,307,147,441,219
84_4,182,303,293,399
84_5,280,326,498,394
84_6,272,0,361,108
84_7,107,82,240,155
84_8,229,154,383,216
84_9,142,233,239,399
85_1,384,171,543,213
85_2,114,145,288,210
85_3,345,127,470,263
85_4,59,156,207,220
86_1,394,169,542,223
86_2,114,145,277,215
86_3,302,155,472,244
86_4,136,127,202,250
87_1,487,160,639,243
87_2,326,164,398,285
87_3,0,140,142,192
87_4,507,133,592,273
87_5,266,162,361,290
87_6,4,98,144,250
88_1,95,53,224,238
88_2,209,109,332,206
88_3,41,351,192,395
88_4,153,215,346,399
88_5,440,334,586,399
88_6,109,133,191,205
88_7,127,131,276,190
88_8,34,317,121,399
88_9,116,237,265,393
88_10,405,300,514,399
89_1,208,153,372,230
89_2,0,165,92,282
89_3,133,176,273,222
89_4,0,160,124,284
90_1,246,157,468,232
90_2,72,164,157,277
90_3,215,172,351,227
90_4,0,163,113,286
91_1,95,351,246,391
91_2,411,197,531,396
91_3,69,312,168,399
91_4,385,247,467,367
92_1,288,171,364,293
92_2,415,0,531,111
92_3,152,208,325,266
92_4,385,2,467,136
93_1,276,75,363,223
93_2,357,105,520,206
93_3,207,353,345,397
93_4,342,213,483,399
93_5,197,57,320,289
93_6,310,99,427,227
93_7,193,267,286,387
93_8,256,285,415,351
94_1,55,285,107,399
94_2,261,295,381,395
94_3,0,310,134,370
94_4,214,236,321,398
95_1,354,176,432,399
95_2,246,142,386,268
95_3,363,0,476,132
95_4,327,4,377,208
95_5,0,4,215,156
95_6,247,168,369,370
95_7,256,152,319,289
95_8,346,14,415,83
96_1,251,159,421,362
96_2,360,1,575,147
96_3,216,198,327,313
96_4,375,0,444,128
97_1,422,145,604,296
97_2,104,150,197,280
97_3,366,193,498,258
97_4,0,164,176,260
98_1,208,287,287,396
98_2,426,296,549,396
98_3,132,317,240,377
98_4,375,295,478,397
99_1,169,289,289,392
99_2,150,240,235,397
100_1,9,222,96,391
100_2,5,95,216,217
100_3,457,0,589,227
100_4,14,204,74,386
100_5,268,317,455,399
100_6,17,129,104,194
100_7,0,114,115,211
100_8,419,2,512,167
100_9,1,266,101,345
101_1,500,184,622,385
101_2,411,155,573,258
101_3,0,158,165,383
101_4,523,3,639,138
101_5,505,6,570,209
101_6,121,1,309,160
101_7,498,222,560,349
101_8,305,169,477,278
101_9,0,194,86,338
102_1,348,186,430,398
102_2,249,150,380,263
102_3,369,0,478,137
102_4,328,0,375,222
102_5,0,5,206,148
102_6,326,243,387,316
102_7,184,183,310,247
102_8,270,0,405,259
103_1,264,1,379,220
103_2,80,317,290,390
103_3,221,61,332,108
103_4,58,330,203,385
104_1,124,285,187,399
104_2,349,293,446,398
104_3,72,236,157,399
104_4,248,315,392,382
105_1,100,178,269,343
105_2,0,164,165,219
105_3,214,0,354,141
105_4,5,0,136,146
105_5,94,244,199,285
105_6,4,126,77,258
105_7,210,0,286,136
106_1,193,360,280,399
106_2,146,319,247,399
107_1,1,357,171,399
107_2,220,361,375,396
107_3,0,330,78,396
107_4,146,369,286,399
108_1,119,365,193,399
108_2,74,286,150,399
109_1,191,372,320,399
109_2,474,183,546,342
109_3,330,168,481,222
109_4,13,187,207,248
109_5,513,2,639,144
109_6,359,3,442,146
109_7,53,0,226,123
109_8,123,363,262,399
109_9,443,240,520,294
110_1,292,153,467,248
110_2,0,160,142,245
110_3,286,93,373,310
110_4,5,164,76,245
111_1,434,151,627,258
111_2,99,164,215,238
111_3,413,145,514,279
111_4,60,84,166,313
112_1,168,6,275,206
112_2,270,139,424,222
112_3,19,314,188,398
112_4,283,281,387,397
112_5,509,359,639,399
112_6,101,87,219,155
112_7,214,151,330,217
113_1,502,166,629,250
113_2,348,146,480,257
113_3,403,145,561,282
113_4,298,101,408,319
114_1,1,141,212,219
114_2,418,98,575,202
114_3,23,274,119,399
114_4,297,356,451,399
114_5,21,157,109,208
114_6,304,118,477,203
114_7,0,306,128,370
115_1,580,188,639,339
115_2,390,183,577,357
115_3,5,158,136,381
115_4,422,1,613,191
115_5,473,233,607,297
115_6,379,197,474,329
115_7,0,207,76,327
116_1,493,180,546,342
116_2,311,177,485,351
116_3,500,0,639,189
116_4,346,2,504,195
116_5,417,153,528,371
116_6,297,231,398,287
116_7,529,0,590,209
116_8,308,0,427,125
117_1,520,176,634,366
117_2,36,156,220,324
117_3,416,240,571,293
117_4,66,206,141,272
118_1,176,293,314,395
118_2,478,310,553,399
118_3,141,273,240,389
118_4,404,298,513,399
119_1,5,10,76,185
119_2,82,3,231,219
119_3,521,3,635,221
119_4,25,255,237,399
119_5,489,336,639,399
119_6,5,42,72,166
119_7,68,27,174,223
120_1,315,157,433,334
120_2,58,178,179,291
120_3,216,176,376,310
120_4,0,210,129,271
121_1,383,167,538,339
121_2,161,177,263,290
121_3,344,153,448,344
121_4,81,150,216,327
122_1,236,309,300,399
122_2,473,315,590,399
122_3,126,281,270,397
122_4,426,355,530,396
123_1,137,309,213,399
123_2,402,315,491,399
123_3,72,299,181,399
123_4,349,307,447,399
124_1,319,176,402,332
124_2,155,176,312,350
124_3,387,3,547,180
124_4,196,1,346,197
124_5,261,147,360,373
124_6,166,236,241,292
124_7,349,3,447,136
124_8,176,0,271,195
125_1,62,297,235,399
125_2,394,309,463,399
125_3,64,300,160,399
125_4,290,341,427,393
126_1,225,314,297,399
126_2,478,317,589,399
126_3,132,337,269,389
126_4,388,348,527,399
